	chromosome_name	external_gene_name	description	gene_biotype
INIP	9	INIP	INTS3 and NABP interacting protein [Source:HGNC Symbol;Acc:HGNC:24994]	protein_coding
CAAP1	9	CAAP1	caspase activity and apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:25834]	protein_coding
C9orf85	9	C9orf85	chromosome 9 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:28784]	protein_coding
RABL6	9	RABL6	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	protein_coding
CCDC171	9	CCDC171	coiled-coil domain containing 171 [Source:HGNC Symbol;Acc:HGNC:29828]	protein_coding
NMRK1	9	NMRK1	nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]	protein_coding
CA1	8	CA1	carbonic anhydrase 1 [Source:HGNC Symbol;Acc:HGNC:1368]	protein_coding
CA10	17	CA10	carbonic anhydrase 10 [Source:HGNC Symbol;Acc:HGNC:1369]	protein_coding
CA11	19	CA11	carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]	protein_coding
CA12	15	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	protein_coding
CA13	8	CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	protein_coding
CA14	1	CA14	carbonic anhydrase 14 [Source:HGNC Symbol;Acc:HGNC:1372]	protein_coding
CA2	8	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	protein_coding
CA3	8	CA3	carbonic anhydrase 3 [Source:HGNC Symbol;Acc:HGNC:1374]	protein_coding
CA4	17	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	protein_coding
CA5A	16	CA5A	carbonic anhydrase 5A [Source:HGNC Symbol;Acc:HGNC:1377]	protein_coding
CA5B	X	CA5B	carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]	protein_coding
CA5BP1	X	CA5BP1	carbonic anhydrase 5B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:29544]	transcribed_unprocessed_pseudogene
CA6	1	CA6	carbonic anhydrase 6 [Source:HGNC Symbol;Acc:HGNC:1380]	protein_coding
CA7	16	CA7	carbonic anhydrase 7 [Source:HGNC Symbol;Acc:HGNC:1381]	protein_coding
CA8	8	CA8	carbonic anhydrase 8 [Source:HGNC Symbol;Acc:HGNC:1382]	protein_coding
CA9	9	CA9	carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]	protein_coding
CAB39	2	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	protein_coding
CAB39L	13	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	protein_coding
CABIN1	22	CABIN1	calcineurin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24187]	protein_coding
CABLES1	18	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]	protein_coding
CABLES2	20	CABLES2	Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143]	protein_coding
CABP1	12	CABP1	calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1384]	protein_coding
CABP2	11	CABP2	calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1385]	protein_coding
CABP4	11	CABP4	calcium binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1386]	protein_coding
CABP5	19	CABP5	calcium binding protein 5 [Source:HGNC Symbol;Acc:HGNC:13714]	protein_coding
CABP7	22	CABP7	calcium binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20834]	protein_coding
CABS1	4	CABS1	calcium binding protein, spermatid associated 1 [Source:HGNC Symbol;Acc:HGNC:30710]	protein_coding
CABYR	18	CABYR	calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]	protein_coding
CACHD1	1	CACHD1	cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]	protein_coding
CACNA1A	19	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	protein_coding
CACNA1B	9	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	protein_coding
CACNA1C	12	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	protein_coding
CACNA1D	3	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	protein_coding
CACNA1E	1	CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	protein_coding
CACNA1F	X	CACNA1F	calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393]	protein_coding
CACNA1G	17	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	protein_coding
CACNA1H	16	CACNA1H	calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]	protein_coding
CACNA1I	22	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	protein_coding
CACNA1S	1	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	protein_coding
CACNA2D1	7	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	protein_coding
CACNA2D2	3	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	protein_coding
CACNA2D3	3	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	protein_coding
CACNA2D4	12	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]	protein_coding
CACNB1	17	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	protein_coding
CACNB2	10	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	protein_coding
CACNB3	12	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	protein_coding
CACNB4	2	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	protein_coding
CACNG1	17	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	protein_coding
CACNG2	22	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	protein_coding
CACNG3	16	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	protein_coding
CACNG4	17	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	protein_coding
CACNG5	17	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	protein_coding
CACNG6	19	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	protein_coding
CACNG7	19	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	protein_coding
CACNG8	19	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	protein_coding
CACYBP	1	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	protein_coding
CAD	2	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	protein_coding
CADM1	11	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	protein_coding
CADM2	3	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	protein_coding
CADM3	1	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	protein_coding
CADM4	19	CADM4	cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]	protein_coding
CADPS	3	CADPS	calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]	protein_coding
CADPS2	7	CADPS2	calcium dependent secretion activator 2 [Source:HGNC Symbol;Acc:HGNC:16018]	protein_coding
CAGE1	6	CAGE1	cancer antigen 1 [Source:HGNC Symbol;Acc:HGNC:21622]	protein_coding
CAHM	6	CAHM	colon adenocarcinoma hypermethylated [Source:HGNC Symbol;Acc:HGNC:42860]	lncRNA
CALB1	8	CALB1	calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]	protein_coding
CALB2	16	CALB2	calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]	protein_coding
CALCA	11	CALCA	calcitonin related polypeptide alpha [Source:HGNC Symbol;Acc:HGNC:1437]	protein_coding
CALCB	11	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	protein_coding
CALCOCO1	12	CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]	protein_coding
CALCOCO2	17	CALCOCO2	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]	protein_coding
CALCR	7	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	protein_coding
CALCRL	2	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	protein_coding
CALD1	7	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	protein_coding
CALHM1	10	CALHM1	calcium homeostasis modulator 1 [Source:HGNC Symbol;Acc:HGNC:23494]	protein_coding
CALHM2	10	CALHM2	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	protein_coding
CALHM3	10	CALHM3	calcium homeostasis modulator 3 [Source:HGNC Symbol;Acc:HGNC:23458]	protein_coding
CALM1	14	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	protein_coding
CALM2	2	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	protein_coding
CALM3	19	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	protein_coding
CALML3	10	CALML3	calmodulin like 3 [Source:HGNC Symbol;Acc:HGNC:1452]	protein_coding
CALML4	15	CALML4	calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]	protein_coding
CALML5	10	CALML5	calmodulin like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	protein_coding
CALML6	1	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	protein_coding
CALN1	7	CALN1	calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]	protein_coding
CALR	19	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	protein_coding
CALR3	19	CALR3	calreticulin 3 [Source:HGNC Symbol;Acc:HGNC:20407]	protein_coding
CALU	7	CALU	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]	protein_coding
CALY	10	CALY	calcyon neuron specific vesicular protein [Source:HGNC Symbol;Acc:HGNC:17938]	protein_coding
CAMK1	3	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	protein_coding
CAMK1D	10	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	protein_coding
CAMK1G	1	CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]	protein_coding
CAMK2A	5	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	protein_coding
CAMK2B	7	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	protein_coding
CAMK2D	4	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	protein_coding
CAMK2G	10	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	protein_coding
CAMK2N1	1	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]	protein_coding
CAMK2N2	3	CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:24197]	protein_coding
CAMK4	5	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	protein_coding
CAMKK1	17	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	protein_coding
CAMKK2	12	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	protein_coding
CAMKMT	2	CAMKMT	calmodulin-lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:26276]	protein_coding
CAMKV	3	CAMKV	CaM kinase like vesicle associated [Source:HGNC Symbol;Acc:HGNC:28788]	protein_coding
CAMLG	5	CAMLG	calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471]	protein_coding
CAMP	3	CAMP	cathelicidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:1472]	protein_coding
CAMSAP1	9	CAMSAP1	calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]	protein_coding
CAMSAP2	1	CAMSAP2	calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]	protein_coding
CAMSAP3	19	CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	protein_coding
CAMTA1	1	CAMTA1	calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]	protein_coding
CAMTA2	17	CAMTA2	calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]	protein_coding
CAND1	12	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]	protein_coding
CAND2	3	CAND2	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	protein_coding
CANT1	17	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	protein_coding
CANX	5	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	protein_coding
CAP1	1	CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	protein_coding
CAP2	6	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	protein_coding
CAPG	2	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	protein_coding
CAPN1	11	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	protein_coding
CAPN10	2	CAPN10	calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]	protein_coding
CAPN11	6	CAPN11	calpain 11 [Source:HGNC Symbol;Acc:HGNC:1478]	protein_coding
CAPN12	19	CAPN12	calpain 12 [Source:HGNC Symbol;Acc:HGNC:13249]	protein_coding
CAPN13	2	CAPN13	calpain 13 [Source:HGNC Symbol;Acc:HGNC:16663]	protein_coding
CAPN14	2	CAPN14	calpain 14 [Source:HGNC Symbol;Acc:HGNC:16664]	protein_coding
CAPN2	1	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	protein_coding
CAPN3	15	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	protein_coding
CAPN5	11	CAPN5	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	protein_coding
CAPN6	X	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	protein_coding
CAPN7	3	CAPN7	calpain 7 [Source:HGNC Symbol;Acc:HGNC:1484]	protein_coding
CAPN8	1	CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	protein_coding
CAPN9	1	CAPN9	calpain 9 [Source:HGNC Symbol;Acc:HGNC:1486]	protein_coding
CAPNS1	19	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	protein_coding
CAPNS2	16	CAPNS2	calpain small subunit 2 [Source:HGNC Symbol;Acc:HGNC:16371]	protein_coding
CAPRIN1	11	CAPRIN1	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]	protein_coding
CAPRIN2	12	CAPRIN2	caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]	protein_coding
CAPS	19	CAPS	calcyphosine [Source:HGNC Symbol;Acc:HGNC:1487]	protein_coding
CAPS2	12	CAPS2	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]	protein_coding
CAPSL	5	CAPSL	calcyphosine like [Source:HGNC Symbol;Acc:HGNC:28375]	protein_coding
CAPZA1	1	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488]	protein_coding
CAPZA2	7	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]	protein_coding
CAPZA3	12	CAPZA3	capping actin protein of muscle Z-line subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:24205]	protein_coding
CAPZB	1	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	protein_coding
CARD10	22	CARD10	caspase recruitment domain family member 10 [Source:HGNC Symbol;Acc:HGNC:16422]	protein_coding
CARD11	7	CARD11	caspase recruitment domain family member 11 [Source:HGNC Symbol;Acc:HGNC:16393]	protein_coding
CARD14	17	CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	protein_coding
CARD18	11	CARD18	caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861]	protein_coding
CARD6	5	CARD6	caspase recruitment domain family member 6 [Source:HGNC Symbol;Acc:HGNC:16394]	protein_coding
CARD8	19	CARD8	caspase recruitment domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17057]	protein_coding
CARD9	9	CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	protein_coding
CARHSP1	16	CARHSP1	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	protein_coding
CARM1	19	CARM1	coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]	protein_coding
CARNS1	11	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]	protein_coding
CARS2	13	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]	protein_coding
CARTPT	5	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	protein_coding
CASC3	17	CASC3	CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]	protein_coding
CASD1	7	CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	protein_coding
CASK	X	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]	protein_coding
CASKIN1	16	CASKIN1	CASK interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20879]	protein_coding
CASKIN2	17	CASKIN2	CASK interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:18200]	protein_coding
CASP1	11	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	protein_coding
CASP10	2	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	protein_coding
CASP12	11	CASP12	caspase 12 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19004]	protein_coding
CASP14	19	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]	protein_coding
CASP2	7	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	protein_coding
CASP3	4	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	protein_coding
CASP4	11	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	protein_coding
CASP5	11	CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	protein_coding
CASP6	4	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	protein_coding
CASP7	10	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	protein_coding
CASP8	2	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	protein_coding
CASP8AP2	6	CASP8AP2	caspase 8 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1510]	protein_coding
CASP9	1	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	protein_coding
CASQ1	1	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	protein_coding
CASQ2	1	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	protein_coding
CASR	3	CASR	calcium sensing receptor [Source:HGNC Symbol;Acc:HGNC:1514]	protein_coding
CASS4	20	CASS4	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]	protein_coding
CAST	5	CAST	calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]	protein_coding
CASZ1	1	CASZ1	castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]	protein_coding
CAT	11	CAT	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	protein_coding
CATSPER1	11	CATSPER1	cation channel sperm associated 1 [Source:HGNC Symbol;Acc:HGNC:17116]	protein_coding
CATSPER2	15	CATSPER2	cation channel sperm associated 2 [Source:HGNC Symbol;Acc:HGNC:18810]	protein_coding
CATSPER3	5	CATSPER3	cation channel sperm associated 3 [Source:HGNC Symbol;Acc:HGNC:20819]	protein_coding
CATSPER4	1	CATSPER4	cation channel sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220]	protein_coding
CATSPERB	14	CATSPERB	cation channel sperm associated auxiliary subunit beta [Source:HGNC Symbol;Acc:HGNC:20500]	protein_coding
CATSPERG	19	CATSPERG	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	protein_coding
CAV1	7	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	protein_coding
CAV2	7	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	protein_coding
CAV3	3	CAV3	caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]	protein_coding
CBFA2T2	20	CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]	protein_coding
CBFA2T3	16	CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3 [Source:HGNC Symbol;Acc:HGNC:1537]	protein_coding
CBFB	16	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	protein_coding
CBL	11	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	protein_coding
CBLB	3	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	protein_coding
CBLC	19	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	protein_coding
CBLL1	7	CBLL1	Cbl proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:21225]	protein_coding
CBLN1	16	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	protein_coding
CBLN2	18	CBLN2	cerebellin 2 precursor [Source:HGNC Symbol;Acc:HGNC:1544]	protein_coding
CBLN3	14	CBLN3	cerebellin 3 precursor [Source:HGNC Symbol;Acc:HGNC:20146]	protein_coding
CBLN4	20	CBLN4	cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	protein_coding
CBR1	21	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	protein_coding
CBR3	21	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	protein_coding
CBR4	4	CBR4	carbonyl reductase 4 [Source:HGNC Symbol;Acc:HGNC:25891]	protein_coding
CBS	21	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	protein_coding
CBWD1	9	CBWD1	COBW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17134]	protein_coding
CBWD2	2	CBWD2	COBW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17907]	protein_coding
CBWD3	9	CBWD3	COBW domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18519]	protein_coding
CBWD6	9	CBWD6	COBW domain containing 6 [Source:HGNC Symbol;Acc:HGNC:31978]	protein_coding
CBX1	17	CBX1	chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]	protein_coding
